Year,District,Crime,Cases
2018,Ratnagiri,Kidnapping & Abduction,82.0
2018,Sangli,Kidnapping & Abduction,240.0
2018,Satara,Kidnapping & Abduction,263.0
2018,Sindhudurg,Kidnapping & Abduction,22.0
2018,Solapur,Kidnapping & Abduction,323.0
2018,Thane,Kidnapping & Abduction,1632.0
2018,Wardha,Kidnapping & Abduction,125.0
2018,Washim,Kidnapping & Abduction,63.0
2018,Yavatmal,Kidnapping & Abduction,176.0
2019,Ahilyanagar,Kidnapping & Abduction,420.0
2019,Akola,Kidnapping & Abduction,126.0
2019,Amravati,Kidnapping & Abduction,271.0
2019,Chh. Sambhaji Nagar,Kidnapping & Abduction,318.0
2019,Beed,Kidnapping & Abduction,128.0
2019,Bhandara,Kidnapping & Abduction,108.0
2019,Buldhana,Kidnapping & Abduction,123.0
2019,Chandrapur,Kidnapping & Abduction,205.0
2019,Dhule,Kidnapping & Abduction,107.0
2019,Gadchiroli,Kidnapping & Abduction,49.0
2019,Gondia,Kidnapping & Abduction,113.0
2019,Hingoli,Kidnapping & Abduction,54.0
2019,Jalgaon,Kidnapping & Abduction,207.0
2019,Jalna,Kidnapping & Abduction,114.0
2019,Kolhapur,Kidnapping & Abduction,267.0
